Date,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,France,0,0,0,0
2020-01-04,France,0,0,0,0
2020-01-05,France,0,0,0,0
2020-01-06,France,0,0,0,0
2020-01-07,France,0,0,0,0
2020-01-08,France,0,0,0,0
2020-01-09,France,0,0,0,0
2020-01-10,France,0,0,0,0
2020-01-11,France,0,0,0,0
2020-01-12,France,0,0,0,0
2020-01-13,France,0,0,0,0
2020-01-14,France,0,0,0,0
2020-01-15,France,0,0,0,0
2020-01-16,France,0,0,0,0
2020-01-17,France,0,0,0,0
2020-01-18,France,0,0,0,0
2020-01-19,France,0,0,0,0
2020-01-20,France,0,0,0,0
2020-01-21,France,0,0,0,0
2020-01-22,France,0,0,0,0
2020-01-23,France,0,0,0,0
2020-01-24,France,3,3,0,0
2020-01-25,France,0,3,0,0
2020-01-26,France,0,3,0,0
2020-01-27,France,0,3,0,0
2020-01-28,France,0,3,0,0
2020-01-29,France,1,4,0,0
2020-01-30,France,1,5,0,0
2020-01-31,France,1,6,0,0
2020-02-01,France,0,6,0,0
2020-02-02,France,0,6,0,0
2020-02-03,France,0,6,0,0
2020-02-04,France,0,6,0,0
2020-02-05,France,0,6,0,0
2020-02-06,France,0,6,0,0
2020-02-07,France,0,6,0,0
2020-02-08,France,5,11,0,0
2020-02-09,France,0,11,0,0
2020-02-10,France,0,11,0,0
2020-02-11,France,0,11,0,0
2020-02-12,France,0,11,0,0
2020-02-13,France,0,11,0,0
2020-02-14,France,0,11,0,0
2020-02-15,France,0,11,1,1
2020-02-16,France,0,11,0,1
2020-02-17,France,1,12,0,1
2020-02-18,France,0,12,0,1
2020-02-19,France,0,12,0,1
2020-02-20,France,0,12,0,1
2020-02-21,France,0,12,0,1
2020-02-22,France,0,12,0,1
2020-02-23,France,0,12,0,1
2020-02-24,France,0,12,0,1
2020-02-25,France,0,12,0,1
2020-02-26,France,2,14,0,1
2020-02-27,France,3,17,1,2
2020-02-28,France,21,38,0,2
2020-02-29,France,19,57,0,2
2020-03-01,France,43,100,0,2
2020-03-02,France,30,130,0,2
2020-03-03,France,48,178,1,3
2020-03-04,France,31,209,1,4
2020-03-05,France,73,282,0,4
2020-03-06,France,133,415,3,7
2020-03-07,France,190,605,2,9
2020-03-08,France,101,706,1,10
2020-03-09,France,410,1116,9,19
2020-03-10,France,286,1402,11,30
2020-03-11,France,372,1774,3,33
2020-03-12,France,496,2270,15,48
2020-03-13,France,586,2856,13,61
2020-03-14,France,778,3634,18,79
2020-03-15,France,830,4464,12,91
2020-03-16,France,916,5380,36,127
2020-03-17,France,1202,6582,21,148
2020-03-18,France,1075,7657,27,175
2020-03-19,France,1387,9044,69,244
2020-03-20,France,1840,10884,128,372
2020-03-21,France,1571,12455,78,450
2020-03-22,France,1841,14296,112,562
2020-03-23,France,1525,15821,112,674
2020-03-24,France,3810,19631,186,860
2020-03-25,France,2412,22043,240,1100
2020-03-26,France,2897,24940,230,1330
2020-03-27,France,3846,28786,365,1695
2020-03-28,France,3748,32534,297,1992
2020-03-29,France,4611,37145,319,2311
2020-03-30,France,2491,39636,291,2602
2020-03-31,France,4341,43977,415,3017
2020-04-01,France,7500,51477,497,3514
2020-04-02,France,4784,56261,505,4019
2020-04-03,France,2066,58327,471,4490
2020-04-04,France,5209,63536,2003,6493
2020-04-05,France,4221,67757,1053,7546
2020-04-06,France,1850,69607,518,8064
2020-04-07,France,3881,73488,832,8896
2020-04-08,France,3737,77225,1417,10313
2020-04-09,France,3869,81094,540,10853
2020-04-10,France,4256,85350,1339,12192
2020-04-11,France,4333,89683,987,13179
2020-04-12,France,3104,92787,635,13814
2020-04-13,France,1595,94382,560,14374
2020-04-14,France,2669,97051,572,14946
2020-04-15,France,5483,102534,762,15708
2020-04-16,France,2621,105155,1438,17146
2020-04-17,France,2623,107778,753,17899
2020-04-18,France,385,108163,760,18659
2020-04-19,France,2558,110721,635,19294
2020-04-20,France,742,111463,395,19689
2020-04-21,France,2050,113513,544,20233
2020-04-22,France,2638,116151,530,20763
2020-04-23,France,1810,117961,544,21307
2020-04-24,France,1623,119584,516,21823
2020-04-25,France,1755,121339,389,22212
2020-04-26,France,1537,122876,368,22580
2020-04-27,France,404,123280,241,22821
2020-04-28,France,1160,124440,440,23261
2020-04-29,France,1025,125465,366,23627
2020-04-30,France,1601,127066,427,24054
2020-05-01,France,1055,128121,288,24342
2020-05-02,France,601,128722,218,24560
2020-05-03,France,736,129458,164,24724
2020-05-04,France,250,129708,135,24859
2020-05-05,France,534,130242,306,25165
2020-05-06,France,1050,131292,326,25491
2020-05-07,France,4176,135468,278,25769
2020-05-08,France,512,135980,177,25946
2020-05-09,France,598,136578,242,26188
2020-05-10,France,430,137008,80,26268
2020-05-11,France,65,137073,70,26338
2020-05-12,France,863,137936,262,26600
2020-05-13,France,977,138913,348,26948
2020-05-14,France,985,139898,81,27029
2020-05-15,France,213,140111,349,27378
2020-05-16,France,73,140184,130,27508
2020-05-17,France,1110,141294,88,27596
2020-05-18,France,963,142257,66,27662
2020-05-19,France,1027,143284,186,27848
2020-05-20,France,131,143415,124,27972
2020-05-21,France,761,144176,109,28081
2020-05-22,France,226,144402,83,28164
2020-05-23,France,101,144503,74,28238
2020-05-24,France,692,145195,43,28281
2020-05-25,France,689,145884,34,28315
2020-05-26,France,649,146533,64,28379
2020-05-27,France,587,147120,98,28477
2020-05-28,France,552,147672,66,28543
2020-05-29,France,316,147988,65,28608
2020-05-30,France,126,148114,52,28660
2020-05-31,France,122,148236,57,28717
2020-06-01,France,554,148790,29,28746
2020-06-02,France,572,149362,30,28776
2020-06-03,France,548,149910,107,28883
2020-06-04,France,536,150446,81,28964
2020-06-05,France,207,150653,43,29007
2020-06-06,France,81,150734,46,29053
2020-06-07,France,507,151241,31,29084
2020-06-08,France,524,151765,13,29097
2020-06-09,France,449,152214,52,29149
2020-06-10,France,556,152770,85,29234
2020-06-11,France,485,153255,23,29257
2020-06-12,France,130,153385,27,29284
2020-06-13,France,133,153518,28,29312
2020-06-14,France,205,153723,23,29335
2020-06-15,France,470,154193,8,29343
2020-06-16,France,647,154840,30,29373
2020-06-17,France,459,155299,108,29481
2020-06-18,France,553,155852,28,29509
2020-06-19,France,85,155937,28,29537
2020-06-20,France,113,156050,14,29551
2020-06-21,France,155,156205,14,29565
2020-06-22,France,381,156586,6,29571
2020-06-23,France,624,157210,20,29591
2020-06-24,France,357,157567,57,29648
2020-06-25,France,329,157896,7,29655
2020-06-26,France,83,157979,20,29675
2020-06-27,France,214,158193,25,29700
2020-06-28,France,197,158390,0,29700
2020-06-29,France,729,159119,0,29700
2020-06-30,France,255,159374,30,29730
2020-07-01,France,357,159731,30,29760
2020-07-02,France,442,160173,17,29777
2020-07-03,France,173,160346,14,29791
2020-07-04,France,103,160449,17,29808
2020-07-05,France,171,160620,0,29808
2020-07-06,France,561,161181,0,29808
2020-07-07,France,549,161730,23,29831
2020-07-08,France,574,162304,11,29842
2020-07-09,France,563,162867,31,29873
2020-07-10,France,240,163107,13,29886
2020-07-11,France,117,163224,24,29910
2020-07-12,France,457,163681,0,29910
2020-07-13,France,168,163849,0,29910
2020-07-14,France,621,164470,18,29928
2020-07-15,France,917,165387,0,29928
2020-07-16,France,867,166254,87,30015
2020-07-17,France,304,166558,17,30032
2020-07-18,France,53,166611,14,30046
2020-07-19,France,887,167498,0,30046
2020-07-20,France,1096,168594,0,30046
2020-07-21,France,1054,169648,8,30054
2020-07-22,France,1022,170670,0,30054
2020-07-23,France,1225,171895,6,30060
2020-07-24,France,400,172295,9,30069
2020-07-25,France,65,172360,9,30078
2020-07-26,France,1341,173701,0,30078
2020-07-27,France,1366,175067,0,30078
2020-07-28,France,1269,176336,15,30093
2020-07-29,France,1496,177832,12,30105
2020-07-30,France,1506,179338,15,30120
2020-07-31,France,656,179994,16,30136
2020-08-01,France,176,180170,11,30147
2020-08-02,France,1938,182108,0,30147
2020-08-03,France,2008,184116,0,30147
2020-08-04,France,1824,185940,28,30175
2020-08-05,France,2091,188031,1,30176
2020-08-06,France,2223,190254,6,30182
2020-08-07,France,921,191175,7,30189
2020-08-08,France,334,191509,12,30201
2020-08-09,France,2697,194206,0,30201
2020-08-10,France,2657,196863,0,30201
2020-08-11,France,2832,199695,13,30214
2020-08-12,France,3442,203137,13,30227
2020-08-13,France,3784,206921,16,30243
2020-08-14,France,616,207537,16,30259
2020-08-15,France,510,208047,16,30275
2020-08-16,France,4951,212998,2,30277
2020-08-17,France,4672,217670,1,30278
2020-08-18,France,4673,222343,18,30296
2020-08-19,France,5062,227405,22,30318
2020-08-20,France,5035,232440,16,30334
2020-08-21,France,2155,234595,12,30346
2020-08-22,France,820,235415,22,30368
2020-08-23,France,6485,241900,8,30376
2020-08-24,France,6705,248605,1,30377
2020-08-25,France,6565,255170,18,30395
2020-08-26,France,7331,262501,16,30411
2020-08-27,France,7185,269686,0,30411
2020-08-28,France,2874,272560,29,30440
2020-08-29,France,1197,273757,20,30460
2020-08-30,France,9349,283106,5,30465
2020-08-31,France,8572,291678,2,30467
2020-09-01,France,8987,300665,27,30494
2020-09-02,France,9539,310204,23,30517
2020-09-03,France,9818,320022,22,30539
2020-09-04,France,3693,323715,0,30539
2020-09-05,France,1355,325070,0,30539
2020-09-06,France,12098,337168,7,30546
2020-09-07,France,11554,348722,1,30547
2020-09-08,France,11245,359967,25,30572
2020-09-09,France,11028,370995,35,30607
2020-09-10,France,11002,381997,29,30636
2020-09-11,France,4338,386335,18,30654
2020-09-12,France,1422,387757,80,30734
2020-09-13,France,13816,401573,15,30749
2020-09-14,France,13447,415020,6,30755
2020-09-15,France,13185,428205,34,30789
2020-09-16,France,13600,441805,48,30837
2020-09-17,France,12639,454444,43,30880
2020-09-18,France,5078,459522,50,30930
2020-09-19,France,1674,461196,154,31084
2020-09-20,France,15608,476804,25,31109
2020-09-21,France,14223,491027,11,31120
2020-09-22,France,12752,503779,52,31172
2020-09-23,France,11635,515414,62,31234
2020-09-24,France,11942,527356,39,31273
2020-09-25,France,4773,532129,52,31325
2020-09-26,France,1162,533291,150,31475
2020-09-27,France,13197,546488,39,31514
2020-09-28,France,12788,559276,27,31541
2020-09-29,France,13103,572379,67,31608
2020-09-30,France,14366,586745,82,31690
2020-10-01,France,15241,601986,56,31746
2020-10-02,France,7215,609201,62,31808
2020-10-03,France,1376,610577,118,31926
2020-10-04,France,21381,631958,43,31969
2020-10-05,France,19663,651621,32,32001
2020-10-06,France,20437,672058,68,32069
2020-10-07,France,22538,694596,65,32134
2020-10-08,France,23263,717859,77,32211
2020-10-09,France,11071,728930,76,32287
2020-10-10,France,3004,731934,90,32377
2020-10-11,France,31710,763644,54,32431
2020-10-12,France,28593,792237,46,32477
2020-10-13,France,28592,820829,94,32571
2020-10-14,France,32012,852841,108,32679
2020-10-15,France,32716,885557,101,32780
2020-10-16,France,15221,900778,88,32868
2020-10-17,France,4343,905121,162,33030
2020-10-18,France,45280,950401,89,33119
2020-10-19,France,44356,994757,85,33204
2020-10-20,France,46461,1041218,146,33350
2020-10-21,France,51083,1092301,261,33611
2020-10-22,France,54521,1146822,155,33766
2020-10-23,France,25093,1171915,162,33928
2020-10-24,France,7124,1179039,297,34225
2020-10-25,France,68553,1247592,125,34350
2020-10-26,France,61525,1309117,117,34467
2020-10-27,France,56662,1365779,255,34722
2020-10-28,France,56163,1421942,522,35244
2020-10-29,France,57506,1479448,240,35484
2020-10-30,France,26259,1505707,235,35719
2020-10-31,France,6351,1512058,544,36263
2020-11-01,France,69989,1582047,223,36486
2020-11-02,France,59106,1641153,231,36717
2020-11-03,France,49763,1690916,411,37128
2020-11-04,France,46864,1737780,854,37982
2020-11-05,France,44263,1782043,373,38355
2020-11-06,France,17913,1799956,363,38718
2020-11-07,France,4125,1804081,827,39545
2020-11-08,France,47592,1851673,304,39849
2020-11-09,France,37425,1889098,270,40119
2020-11-10,France,4797,1893895,546,40665
2020-11-11,France,36517,1930412,1220,41885
2020-11-12,France,28019,1958431,318,42203
2020-11-13,France,10809,1969240,425,42628
2020-11-14,France,2537,1971777,931,43559
2020-11-15,France,30323,2002100,354,43913
2020-11-16,France,21710,2023810,302,44215
2020-11-17,France,17058,2040868,504,44719
2020-11-18,France,16817,2057685,1219,45938
2020-11-19,France,15546,2073231,413,46351
2020-11-20,France,7235,2080466,429,46780
2020-11-21,France,1592,2082058,1137,47917
2020-11-22,France,17732,2099790,253,48170
2020-11-23,France,13742,2113532,214,48384
2020-11-24,France,12334,2125866,499,48883
2020-11-25,France,12496,2138362,1005,49888
2020-11-26,France,11779,2150141,371,50259
2020-11-27,France,6057,2156198,339,50598
2020-11-28,France,1484,2157682,956,51554
2020-11-29,France,15847,2173529,213,51767
2020-11-30,France,12287,2185816,198,51965
2020-12-01,France,11334,2197150,406,52371
2020-12-02,France,11959,2209109,775,53146
2020-12-03,France,12438,2221547,309,53455
2020-12-04,France,6548,2228095,324,53779
2020-12-05,France,1640,2229735,625,54404
2020-12-06,France,16663,2246398,214,54618
2020-12-07,France,13252,2259650,174,54792
2020-12-08,France,12436,2272086,366,55158
2020-12-09,France,13509,2285595,828,55986
2020-12-10,France,13629,2299224,294,56280
2020-12-11,France,7770,2306994,292,56572
2020-12-12,France,1918,2308912,626,57198
2020-12-13,France,19643,2328555,194,57392
2020-12-14,France,15940,2344495,150,57542
2020-12-15,France,14917,2359412,368,57910
2020-12-16,France,15821,2375233,790,58700
2020-12-17,France,17318,2392551,289,58989
2020-12-18,France,10452,2403003,256,59245
2020-12-19,France,3433,2406436,610,59855
2020-12-20,France,21044,2427480,188,60043
2020-12-21,France,18331,2445811,131,60174
2020-12-22,France,16670,2462481,351,60525
2020-12-23,France,12858,2475339,801,61326
2020-12-24,France,1209,2476548,276,61602
2020-12-25,France,9615,2486163,290,61892
2020-12-26,France,2033,2488196,159,62051
2020-12-27,France,21428,2509624,146,62197
2020-12-28,France,19533,2529157,173,62370
2020-12-29,France,18995,2548152,362,62732
2020-12-30,France,15452,2563604,969,63701
2020-12-31,France,1368,2564972,303,64004
2021-01-01,France,13186,2578158,250,64254
2021-01-02,France,2711,2580869,133,64387
2021-01-03,France,27817,2608686,156,64543
2021-01-04,France,22099,2630785,116,64659
2021-01-05,France,19026,2649811,376,65035
2021-01-06,France,18634,2668445,867,65902
2021-01-07,France,19211,2687656,282,66184
2021-01-08,France,10728,2698384,276,66460
2021-01-09,France,2167,2700551,589,67049
2021-01-10,France,25931,2726482,168,67217
2021-01-11,France,20189,2746671,151,67368
2021-01-12,France,19408,2766079,309,67677
2021-01-13,France,19807,2785886,742,68419
2021-01-14,France,20698,2806584,229,68648
2021-01-15,France,11335,2817919,280,68928
2021-01-16,France,2682,2820601,633,69561
2021-01-17,France,28922,2849523,192,69753
2021-01-18,France,22710,2872233,141,69894
2021-01-19,France,20813,2893046,401,70295
2021-01-20,France,21609,2914655,656,70951
2021-01-21,France,22604,2937259,310,71261
2021-01-22,France,12515,2949774,346,71607
2021-01-23,France,2072,2951846,648,72255
2021-01-24,France,29448,2981294,229,72484
2021-01-25,France,22205,3003499,172,72656
2021-01-26,France,20900,3024399,445,73101
2021-01-27,France,22313,3046712,612,73713
2021-01-28,France,22627,3069339,349,74062
2021-01-29,France,12464,3081803,343,74405
2021-01-30,France,2957,3084760,819,75224
2021-01-31,France,29782,3114542,242,75466
2021-02-01,France,22756,3137298,195,75661
2021-02-02,France,20040,3157338,453,76114
2021-02-03,France,20247,3177585,726,76840
2021-02-04,France,21010,3198595,353,77193
2021-02-05,France,11800,3210395,355,77548
2021-02-06,France,1213,3211608,624,78172
2021-02-07,France,25685,3237293,191,78363
2021-02-08,France,19805,3257098,171,78534
2021-02-09,France,17513,3274611,456,78990
2021-02-10,France,17191,3291802,721,79711
2021-02-11,France,17781,3309583,295,80006
2021-02-12,France,10098,3319681,357,80363
2021-02-13,France,2168,3321849,644,81007
2021-02-14,France,23782,3345631,192,81199
2021-02-15,France,19739,3365370,167,81366
2021-02-16,France,19549,3384919,409,81775
2021-02-17,France,20133,3405052,582,82357
2021-02-18,France,21167,3426219,309,82666
2021-02-19,France,12519,3438738,267,82933
2021-02-20,France,2085,3440823,565,83498
2021-02-21,France,28726,3469549,183,83681
2021-02-22,France,22181,3491730,159,83840
2021-02-23,France,20162,3511892,327,84167
2021-02-24,France,20736,3532628,428,84595
2021-02-25,France,20752,3553380,273,84868
2021-02-26,France,12393,3565773,257,85125
2021-02-27,France,2277,3568050,536,85661
2021-02-28,France,27422,3595472,185,85846
2021-03-01,France,20412,3615884,114,85960
2021-03-02,France,20453,3636337,375,86335
2021-03-03,France,19786,3656123,410,86745
2021-03-04,France,21912,3678035,322,87067
2021-03-05,France,13157,3691192,278,87345
2021-03-06,France,2364,3693556,431,87776
2021-03-07,France,29327,3722883,170,87946
2021-03-08,France,23466,3746349,127,88073
2021-03-09,France,23706,3770055,358,88431
2021-03-10,France,23945,3794000,356,88787
2021-03-11,France,26255,3820255,331,89118
2021-03-12,France,17026,3837281,265,89383
2021-03-13,France,4135,3841416,223,89606
2021-03-14,France,38276,3879692,168,89774
2021-03-15,France,30555,3910247,132,89906
2021-03-16,France,30439,3940686,333,90239
2021-03-17,France,30375,3971061,392,90631
2021-03-18,France,33123,4004184,236,90867
2021-03-19,France,20670,4024854,268,91135
2021-03-20,France,4986,4029840,276,91411
2021-03-21,France,46270,4076110,175,91586
2021-03-22,France,38088,4114198,138,91724
2021-03-23,France,37136,4151334,343,92067
2021-03-24,France,37079,4188413,269,92336
2021-03-25,France,39932,4228345,245,92581
2021-03-26,France,24890,4253235,223,92804
2021-03-27,France,5122,4258357,897,93701
2021-03-28,France,52323,4310680,178,93879
2021-03-29,France,43554,4354234,131,94010
2021-03-30,France,39629,4393863,360,94370
2021-03-31,France,38379,4432242,361,94731
2021-04-01,France,38483,4470725,299,95030
2021-04-02,France,24320,4495045,308,95338
2021-04-03,France,3775,4498820,321,95659
2021-04-04,France,8602,4507422,185,95844
2021-04-05,France,53843,4561265,185,96029
2021-04-06,France,39110,4600375,197,96226
2021-04-07,France,35899,4636274,412,96638
2021-04-08,France,37967,4674241,421,97059
2021-04-09,France,23785,4698026,343,97402
2021-04-10,France,3728,4701754,319,97721
2021-04-11,France,46288,4748042,207,97928
2021-04-12,France,34343,4782385,176,98104
2021-04-13,France,30754,4813139,373,98477
2021-04-14,France,31275,4844414,345,98822
2021-04-15,France,32128,4876542,295,99117
2021-04-16,France,20291,4896833,296,99413
2021-04-17,France,4515,4901348,331,99744
2021-04-18,France,39723,4941071,177,99921
2021-04-19,France,30755,4971826,140,100061
2021-04-20,France,29142,5000968,446,100507
2021-04-21,France,26869,5027837,381,100888
2021-04-22,France,28363,5056200,313,101201
2021-04-23,France,17221,5073421,283,101484
2021-04-24,France,3476,5076897,331,101815
2021-04-25,France,32465,5109362,195,102010
2021-04-26,France,24812,5134174,145,102155
2021-04-27,France,21077,5155251,391,102546
2021-04-28,France,20966,5176217,344,102890
2021-04-29,France,22575,5198792,315,103205
2021-04-30,France,3828,5202620,306,103511
2021-05-01,France,3376,5205996,290,103801
2021-05-02,France,27245,5233241,164,103965
2021-05-03,France,20203,5253444,113,104078
2021-05-04,France,17478,5270922,308,104386
2021-05-05,France,15889,5286811,255,104641
2021-05-06,France,17918,5304729,244,104885
2021-05-07,France,3888,5308617,219,105104
2021-05-08,France,1562,5310179,235,105339
2021-05-09,France,23884,5334063,176,105515
2021-05-10,France,16618,5350681,115,105630
2021-05-11,France,15762,5366443,290,105920
2021-05-12,France,1571,5368014,231,106151
2021-05-13,France,17164,5385178,182,106333
2021-05-14,France,8576,5393754,131,106464
2021-05-15,France,2262,5396016,173,106637
2021-05-16,France,18820,5414836,100,106737
2021-05-17,France,15432,5430268,81,106818
2021-05-18,France,13220,5443488,195,107013
2021-05-19,France,11514,5455002,221,107234
2021-05-20,France,11986,5466988,140,107374
2021-05-21,France,4817,5471805,133,107507
2021-05-22,France,13447,5485252,121,107628
2021-05-23,France,11821,5497073,75,107703
2021-05-24,France,9704,5506777,70,107773
2021-05-25,France,1908,5508685,61,107834
2021-05-26,France,1749,5510434,207,108041
2021-05-27,France,12438,5522872,143,108184
2021-05-28,France,13704,5536576,141,108325
2021-05-29,France,11090,5547666,123,108448
2021-05-30,France,10007,5557673,66,108514
2021-05-31,France,8541,5566214,44,108558
2021-06-01,France,938,5567152,126,108684
2021-06-02,France,8498,5575650,117,108801
2021-06-03,France,8582,5584232,95,108896
2021-06-04,France,7978,5592210,69,108965
2021-06-05,France,6762,5598972,88,109053
2021-06-06,France,6229,5605201,43,109096
2021-06-07,France,5070,5610271,25,109121
2021-06-08,France,946,5611217,59,109180
2021-06-09,France,4700,5615917,63,109243
2021-06-10,France,5358,5621275,64,109307
2021-06-11,France,4475,5625750,68,109375
2021-06-12,France,3639,5629389,71,109446
2021-06-13,France,3603,5632992,25,109471
2021-06-14,France,2850,5635842,13,109484
2021-06-15,France,407,5636249,60,109544
2021-06-16,France,1867,5638116,72,109616
2021-06-17,France,2865,5640981,44,109660
2021-06-18,France,2775,5643756,55,109715
2021-06-19,France,2132,5645888,63,109778
2021-06-20,France,2322,5648210,20,109798
2021-06-21,France,1815,5650025,14,109812
2021-06-22,France,290,5650315,39,109851
2021-06-23,France,978,5651293,45,109896
2021-06-24,France,2287,5653580,33,109929
2021-06-25,France,1796,5655376,44,109973
2021-06-26,France,1851,5657227,33,110006
2021-06-27,France,1762,5658989,10,110016
2021-06-28,France,1571,5660560,17,110033
2021-06-29,France,509,5661069,32,110065
2021-06-30,France,1104,5662173,43,110108
2021-07-01,France,2336,5664509,25,110133
2021-07-02,France,2572,5667081,28,110161
2021-07-03,France,2581,5669662,22,110183
2021-07-04,France,2695,5672357,12,110195
2021-07-05,France,2549,5674906,9,110204
2021-07-06,France,796,5675702,26,110230
2021-07-07,France,2044,5677746,31,110261
2021-07-08,France,3996,5681742,28,110289
2021-07-09,France,4324,5686066,23,110312
2021-07-10,France,4498,5690564,17,110329
2021-07-11,France,4102,5694666,14,110343
2021-07-12,France,4231,5698897,4,110347
2021-07-13,France,1120,5700017,24,110371
2021-07-14,France,5367,5705384,40,110411
2021-07-15,France,8748,5714132,6,110417
2021-07-16,France,3583,5717715,16,110433
2021-07-17,France,8433,5726148,14,110447
2021-07-18,France,10949,5737097,16,110463
2021-07-19,France,12523,5749620,5,110468
2021-07-20,France,3959,5753579,16,110484
2021-07-21,France,16723,5770302,21,110505
2021-07-22,France,21386,5791688,22,110527
2021-07-23,France,21769,5813457,10,110537
2021-07-24,France,19052,5832509,31,110568
2021-07-25,France,23373,5855882,20,110588
2021-07-26,France,15233,5871115,6,110594
2021-07-27,France,5154,5876269,42,110636
2021-07-28,France,24127,5900396,17,110653
2021-07-29,France,27798,5928194,39,110692
2021-07-30,France,21259,5949453,15,110707
2021-07-31,France,22043,5971496,50,110757
2021-08-01,France,22785,5994281,38,110795
2021-08-02,France,19600,6013881,18,110813
2021-08-03,France,5184,6019065,24,110837
2021-08-04,France,20508,6039573,55,110892
2021-08-05,France,27856,6067429,41,110933
2021-08-06,France,25481,6092910,42,110975
2021-08-07,France,22643,6115553,51,111026
2021-08-08,France,24960,6140513,28,111054
2021-08-09,France,20422,6160935,27,111081
2021-08-10,France,672,6161607,62,111143
2021-08-11,France,24236,6185843,54,111197
2021-08-12,France,30757,6216600,57,111254
2021-08-13,France,26647,6243247,50,111304
2021-08-14,France,22502,6265749,34,111338
2021-08-15,France,24427,6290176,53,111391
2021-08-16,France,21125,6311301,44,111435
2021-08-17,France,5829,6317130,79,111514
2021-08-18,France,17104,6334234,91,111605
2021-08-19,France,27437,6361671,110,111715
2021-08-20,France,23102,6384773,107,111822
2021-08-21,France,18918,6403691,38,111860
2021-08-22,France,22636,6426327,129,111989
2021-08-23,France,17282,6443609,115,112104
2021-08-24,France,3857,6447466,55,112159
2021-08-25,France,22905,6470371,134,112293
2021-08-26,France,22610,6492981,103,112396
2021-08-27,France,18812,6511793,-6,112390
2021-08-28,France,10563,6522356,30,112420
2021-08-29,France,17381,6539737,74,112494
2021-08-30,France,13589,6553326,53,112547
2021-08-31,France,2132,6555458,62,112609
2021-09-01,France,17441,6572899,123,112732
2021-09-02,France,17102,6590001,95,112827
2021-09-03,France,15353,6605354,91,112918
2021-09-04,France,8708,6614062,95,113013
2021-09-05,France,13143,6627205,-32,112981
2021-09-06,France,10360,6637565,49,113030
2021-09-07,France,2310,6639875,112,113142
2021-09-08,France,12851,6652726,67,113209
2021-09-09,France,12348,6665074,117,113326
2021-09-10,France,10649,6675723,89,113415
2021-09-11,France,7575,6683298,2,113417
2021-09-12,France,9408,6692706,44,113461
2021-09-13,France,7653,6700359,29,113490
2021-09-14,France,415,6700774,82,113572
2021-09-15,France,9944,6710718,80,113652
2021-09-16,France,8686,6719404,75,113727
2021-09-17,France,7690,6727094,69,113796
2021-09-18,France,5898,6732992,32,113828
2021-09-19,France,7414,6740406,42,113870
2021-09-20,France,5814,6746220,28,113898
2021-09-21,France,180,6746400,9,113907
2021-09-22,France,7465,6753865,144,114051
2021-09-23,France,6400,6760265,55,114106
2021-09-24,France,6110,6766375,59,114165
2021-09-25,France,4527,6770902,20,114185
2021-09-26,France,6012,6776914,29,114214
2021-09-27,France,4683,6781597,14,114228
2021-09-28,France,1161,6782758,73,114301
2021-09-29,France,5859,6788617,49,114350
2021-09-30,France,5479,6794096,43,114393
2021-10-01,France,4858,6798954,54,114447
2021-10-02,France,4124,6803078,21,114468
2021-10-03,France,4948,6808026,30,114498
2021-10-04,France,3744,6811770,9,114507
2021-10-05,France,1138,6812908,40,114547
2021-10-06,France,3875,6816783,54,114601
2021-10-07,France,4632,6821415,34,114635
2021-10-08,France,4281,6825696,33,114668
2021-10-09,France,3897,6829593,16,114684
2021-10-10,France,4734,6834327,15,114699
2021-10-11,France,3991,6838318,8,114707
2021-10-12,France,635,6838953,28,114735
2021-10-13,France,5583,6844536,47,114782
2021-10-14,France,5340,6849876,22,114804
2021-10-15,France,4932,6854808,36,114840
2021-10-16,France,5626,6860434,23,114863
2021-10-17,France,4899,6865333,15,114878
2021-10-18,France,3778,6869111,5,114883
2021-10-19,France,757,6869868,38,114921
2021-10-20,France,5689,6875557,36,114957
2021-10-21,France,5796,6881353,26,114983
2021-10-22,France,5498,6886851,31,115014
2021-10-23,France,6058,6892909,23,115037
2021-10-24,France,6169,6899078,22,115059
